1/beta	E	M	C	X
1.37552	-1775.34	0.992652	0.98538	0.113778	0.0138898
1.37741	-1774.77	0.992518	0.985119	0.164727	0.0183786
1.37931	-1774.22	0.992234	0.98455	0.11969	0.0141638
1.38122	-1773.78	0.992184	0.984451	0.127101	0.014387
1.38313	-1774.16	0.992318	0.984718	0.131886	0.0144979
1.38504	-1773.25	0.992008	0.984104	0.136868	0.0155931
1.38696	-1773.65	0.992153	0.984391	0.133781	0.0151256
1.38889	-1774.6	0.99245	0.984976	0.108712	0.0117658
1.39082	-1773.08	0.991944	0.983977	0.137047	0.0158808
1.39276	-1774.06	0.992266	0.984611	0.115307	0.0128833
1.3947	-1771.92	0.991557	0.983211	0.140107	0.016315
1.39665	-1771.67	0.991662	0.983411	0.107522	0.0112516
1.3986	-1769.95	0.990983	0.982073	0.150652	0.0172659
1.40056	-1769.97	0.990979	0.982065	0.145215	0.0169513
1.40252	-1771.29	0.991394	0.982887	0.134506	0.0157634
1.40449	-1771.41	0.99145	0.982999	0.142075	0.0163002
1.40647	-1770.39	0.991128	0.982363	0.158425	0.0183848
1.40845	-1770.26	0.991064	0.982234	0.143274	0.0166851
1.41044	-1770.28	0.991122	0.982348	0.144298	0.0163857
1.41243	-1769.44	0.990815	0.981748	0.182386	0.0213113
1.41443	-1769	0.990689	0.981495	0.15596	0.0185313
1.41643	-1768.39	0.990388	0.980901	0.158971	0.0201214
1.41844	-1768.47	0.990444	0.981012	0.158873	0.0210183
1.42045	-1768.37	0.990463	0.981046	0.151175	0.0179959
1.42248	-1769.45	0.990768	0.981649	0.140391	0.0174894
1.4245	-1767.08	0.990145	0.980417	0.16135	0.0186329
1.42653	-1767.35	0.990092	0.980311	0.140541	0.0175216
1.42857	-1767.58	0.990176	0.98048	0.162665	0.0201499
1.43062	-1767.1	0.990042	0.980215	0.158843	0.0198828
1.43266	-1766.5	0.989627	0.979401	0.157563	0.0253706
1.43472	-1764.97	0.989421	0.978987	0.167542	0.020697
1.43678	-1765.58	0.989565	0.979273	0.166018	0.0209602
1.43885	-1765.44	0.989542	0.979227	0.164919	0.020645
1.44092	-1765.49	0.989625	0.97939	0.164393	0.0202218
1.443	-1762.8	0.988636	0.97744	0.187544	0.02414
1.44509	-1764.76	0.989281	0.978713	0.175987	0.022229
1.44718	-1763.77	0.988983	0.978121	0.166067	0.0205241
1.44928	-1765.55	0.989601	0.979344	0.168549	0.021357
1.45138	-1764.56	0.989361	0.978866	0.163143	0.0193235
1.45349	-1763.12	0.988799	0.977761	0.181427	0.0229723
1.4556	-1763.48	0.988981	0.978119	0.175291	0.0215793
1.45773	-1764.13	0.989127	0.978406	0.163226	0.0211476
1.45985	-1762.47	0.988558	0.977283	0.17074	0.0225313
1.46199	-1762.42	0.98857	0.977307	0.172813	0.0224783
1.46413	-1763.44	0.988766	0.977693	0.160427	0.0211567
1.46628	-1761.52	0.988338	0.976849	0.172538	0.0221429
1.46843	-1759.21	0.987453	0.9751	0.175117	0.0226048
1.47059	-1760.39	0.987902	0.975993	0.192145	0.0257777
1.47275	-1759.76	0.98779	0.975767	0.178008	0.0227031
1.47493	-1760.5	0.987998	0.976178	0.184635	0.0235575
1.4771	-1758.5	0.987281	0.974765	0.190281	0.0250822
1.47929	-1758.7	0.987489	0.975173	0.184303	0.0233985
1.48148	-1759.34	0.987593	0.975381	0.185021	0.0244065
1.48368	-1759.13	0.987513	0.975224	0.191282	0.0260251
1.48588	-1758.51	0.987334	0.97487	0.201227	0.0258973
1.4881	-1762.08	0.988374	0.976904	0.115908	0.0130465
1.49031	-1757.74	0.987057	0.974323	0.183928	0.0245972
1.49254	-1757.45	0.987011	0.974234	0.195551	0.0259626
